frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
0,0.0,nan,nan
1,0.04,nan,nan
2,0.08,nan,nan
3,0.12,nan,nan
4,0.16,nan,nan
5,0.2,nan,nan
6,0.24,nan,nan
7,0.281,nan,nan
8,0.321,nan,nan
9,0.361,nan,nan
10,0.401,nan,nan
11,0.441,nan,nan
12,0.481,nan,nan
13,0.521,nan,nan
14,0.561,nan,nan
15,0.601,nan,nan
16,0.641,nan,nan
17,0.681,nan,nan
18,0.721,nan,nan
19,0.761,nan,nan
20,0.801,nan,nan
21,0.842,nan,nan
22,0.882,nan,nan
23,0.922,nan,nan
24,0.962,nan,nan
25,1.002,nan,nan
26,1.042,nan,nan
27,1.082,nan,nan
28,1.122,nan,nan
29,1.162,nan,nan
30,1.202,nan,nan
31,1.242,nan,nan
32,1.282,nan,nan
33,1.322,nan,nan
34,1.362,nan,nan
35,1.403,nan,nan
36,1.443,nan,nan
37,1.483,nan,nan
38,1.523,nan,nan
39,1.563,nan,nan
40,1.603,nan,nan
41,1.643,nan,nan
42,1.683,nan,nan
43,1.723,nan,nan
44,1.763,nan,nan
45,1.803,nan,nan
46,1.843,nan,nan
47,1.883,nan,nan
48,1.923,nan,nan
49,1.964,nan,nan
50,2.004,nan,nan
51,2.044,nan,nan
52,2.084,nan,nan
53,2.124,nan,nan
54,2.164,nan,nan
55,2.204,nan,nan
56,2.244,nan,nan
57,2.284,nan,nan
58,2.324,nan,nan
59,2.364,nan,nan
60,2.404,nan,nan
61,2.444,nan,nan
62,2.484,nan,nan
63,2.525,nan,nan
64,2.565,nan,nan
65,2.605,nan,nan
66,2.645,nan,nan
67,2.685,nan,nan
68,2.725,nan,nan
69,2.765,nan,nan
70,2.805,nan,nan
71,2.845,nan,nan
72,2.885,nan,nan
73,2.925,nan,nan
74,2.965,nan,nan
75,3.005,nan,nan
76,3.046,nan,nan
77,3.086,nan,nan
78,3.126,nan,nan
79,3.166,nan,nan
80,3.206,nan,nan
81,3.246,nan,nan
82,3.286,nan,nan
83,3.326,nan,nan
84,3.366,nan,nan
85,3.406,nan,nan
86,3.446,nan,nan
87,3.486,nan,nan
88,3.526,nan,nan
89,3.566,nan,nan
90,3.607,nan,nan
